@relation OPINION-FACT

@attribute numTokens numeric
@attribute numPunctuation numeric
@attribute hasTokensWithRepetitiveLetters numeric
@attribute hasSentiment numeric
@attribute hasNE numeric
@attribute numPronouns numeric
@attribute numNPs numeric
@attribute hasFirstPersonPronouns numeric
@attribute hasVerbToBeAdj numeric
@attribute hasPassive numeric
@attribute hasStativeVerb numeric
@attribute isAnimateVerb numeric
@attribute class {OPINION, FACT}

@data
11,1,0,0,0,0,4,0,0,0,1,1,FACT
12,1,0,0,0,0,4,0,0,0,1,0,FACT
8,1,0,0,1,1,2,0,0,1,1,0,FACT
16,3,0,0,0,1,4,0,0,0,1,0,FACT
11,1,0,0,1,0,3,0,0,0,1,0,FACT
19,2,1,0,0,1,4,0,0,0,1,0,FACT
24,4,0,0,1,0,7,0,0,0,1,1,FACT
62,9,1,0,1,0,15,0,0,0,1,0,FACT
9,1,0,0,1,0,3,0,0,0,1,0,FACT
26,3,0,0,1,0,7,0,0,1,1,0,FACT
23,2,0,0,1,0,8,0,0,0,1,0,FACT
18,1,1,0,0,1,4,0,0,1,1,1,FACT
25,1,1,0,1,0,7,0,0,0,1,0,FACT
14,2,0,0,0,1,3,0,0,0,1,0,FACT
24,2,0,0,1,1,7,0,0,0,1,0,FACT
18,3,0,0,0,0,4,0,0,0,1,0,FACT
36,2,0,0,1,0,11,0,0,0,1,0,FACT
10,1,0,0,0,0,3,0,0,0,1,0,FACT
8,1,0,0,1,1,3,0,0,1,1,0,FACT
15,3,0,0,1,1,5,0,0,1,1,0,FACT
9,2,0,0,1,0,4,0,0,0,1,0,FACT
27,6,1,0,0,1,6,0,0,1,1,0,FACT
17,1,0,0,1,0,5,0,0,0,1,0,FACT
9,1,1,0,0,0,2,0,0,0,0,0,FACT
7,1,0,0,1,0,3,0,0,0,1,0,FACT
4,1,0,0,0,0,1,0,0,0,1,1,FACT
8,1,0,0,1,0,3,0,0,0,1,0,FACT
9,1,0,0,1,0,4,0,0,0,1,0,FACT
6,1,0,0,1,0,2,0,0,0,1,0,FACT
8,1,1,0,1,0,2,0,0,1,1,1,FACT
7,1,0,0,1,0,2,0,0,0,0,1,FACT
6,1,0,0,1,0,3,0,0,0,1,1,FACT
17,1,0,0,1,1,5,1,0,0,1,0,FACT
6,1,0,0,1,0,2,0,0,0,1,0,FACT
11,1,0,0,1,0,4,0,0,0,0,0,FACT
7,1,0,0,1,0,2,0,0,1,1,0,FACT
6,1,0,0,1,0,2,0,0,0,1,0,FACT
9,1,0,0,1,0,3,0,0,0,1,0,FACT
5,1,0,0,0,0,2,0,0,0,1,0,FACT
7,1,0,0,1,0,2,0,0,0,1,0,FACT
9,1,0,0,1,1,2,1,0,0,0,0,FACT
11,1,0,0,1,0,3,0,0,0,1,0,FACT
8,1,0,0,1,0,3,0,0,0,1,1,FACT
11,1,0,0,0,0,2,0,0,0,1,0,FACT
2,1,0,0,1,0,1,0,0,0,0,0,FACT
11,1,0,0,1,0,3,0,0,0,1,0,FACT
9,1,0,0,0,0,3,0,0,0,1,0,FACT
7,1,0,0,1,0,2,0,0,0,1,0,FACT
10,1,0,0,1,0,3,0,0,0,0,0,FACT
12,1,0,0,0,1,3,0,0,1,1,0,FACT
9,1,0,0,1,0,2,0,0,1,1,0,FACT
11,1,0,0,1,0,3,0,0,0,1,0,FACT
5,1,0,0,1,0,2,0,0,0,0,0,FACT
25,4,0,0,1,1,8,0,0,0,1,0,FACT
