@relation ASSIGNMENT3-AASL

@attribute itPosition numeric
@attribute sentenceLength numeric
@attribute punctuationCount numeric
@attribute precedingNPs numeric
@attribute succedingNPs numeric 
@attribute immediatelyFollowsPP numeric
@attribute neighborPOSTags1 string
@attribute neighborPOSTags2 string
@attribute neighborPOSTags3 string
@attribute neighborPOSTags4 string
@attribute neighborPOSTags5 string
@attribute neighborPOSTags6 string
@attribute neighborPOSTags7 string
@attribute neighborPOSTags8 string
@attribute followedByIngVerb numeric
@attribute followedByPreposition numeric
@attribute adjectivesAfterCount numeric
@attribute verbBefore numeric
@attribute verbAfter numeric
@attribute adjectivesAfter numeric
@attribute nounPhraseWithAdjectiveAfter numeric
@attribute tokensBeforeNextVerbInf numeric
@attribute tokensBetweenItAndPreposition numeric
@attribute itImmediatelyFollowedByAdjNounPhrase numeric
@attribute dependencyToClosest string
@attribute followedByWeatherVerb numeric
@attribute followedByCognitiveVerb numeric
@attribute class {NOMANAPH, CLAUSEANAPH}

@data
4,9,2,1,1,0,ADP,DET,PUNCT,PRON,ADV,ADJ,NOUN,PUNCT,0,0,1,0,1,1,1,0,0,0,nsubj,0,0,CLAUSEANAPH
4,8,1,0,0,0,PUNCT,CONJ,ADV,VERB,ADV,VERB,ADJ,PUNCT,0,0,1,1,1,1,1,0,0,0,advmod,0,0,CLAUSEANAPH
7,8,1,2,0,0,PROPN,VERB,VERB,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
9,14,1,2,0,0,ADP,DET,VERB,ADV,VERB,VERB,VERB,VERB,0,0,0,1,1,0,0,0,0,0,nsubjpass,0,0,CLAUSEANAPH
2,8,2,0,2,0,ABS,ABS,ABS,CONJ,VERB,DET,NOUN,PUNCT,0,0,0,0,1,0,0,0,0,0,nsubj,0,0,CLAUSEANAPH
2,8,1,0,1,0,ABS,ABS,ABS,CONJ,VERB,ADV,DET,ADJ,0,0,1,0,1,1,1,0,0,0,nsubj,0,0,CLAUSEANAPH
2,8,1,0,0,0,ABS,ABS,ABS,CONJ,VERB,VERB,VERB,ADV,0,0,0,0,1,0,0,0,0,0,nsubjpass,0,0,CLAUSEANAPH
2,17,1,0,4,0,ABS,ABS,ABS,CONJ,VERB,VERB,PRON,DET,1,1,0,0,1,0,0,0,7,0,nsubj,0,1,CLAUSEANAPH
11,12,3,1,0,1,VERB,ADV,VERB,ADP,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_to,0,0,CLAUSEANAPH
4,6,1,0,0,0,PUNCT,CONJ,PRON,VERB,VERB,PUNCT,ABS,ABS,0,0,0,1,1,0,0,0,0,0,nsubj,0,1,CLAUSEANAPH
12,17,5,2,1,0,VERB,PUNCT,ADV,PUNCT,VERB,ADV,VERB,PRON,0,0,0,1,1,0,0,0,0,0,nsubj,0,0,CLAUSEANAPH
2,5,2,0,0,1,ABS,ABS,ABS,ADP,PUNCT,ADV,PUNCT,ABS,0,0,0,0,0,0,0,0,0,0,dep,0,0,CLAUSEANAPH
5,6,1,1,0,0,VERB,PRON,ADV,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
4,5,1,0,0,0,PUNCT,VERB,ADV,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
7,17,3,1,2,0,VERB,PRON,ADV,VERB,PUNCT,ADP,PUNCT,CONJ,0,1,0,1,1,0,0,0,1,0,dobj,0,0,CLAUSEANAPH
16,17,3,3,0,1,VERB,DET,NOUN,ADP,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,prep_of,0,0,CLAUSEANAPH
6,7,1,2,0,0,ADP,ADV,PRON,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
5,6,1,1,0,0,VERB,PRON,ADV,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
3,4,1,1,0,0,ABS,ABS,PRON,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
7,8,1,2,0,0,PRON,VERB,ADV,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
6,7,1,1,0,1,VERB,ADV,ADJ,ADP,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dep,0,0,CLAUSEANAPH
3,5,1,1,0,0,ABS,ABS,PRON,VERB,ADV,PUNCT,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dep,0,0,CLAUSEANAPH
7,18,1,2,2,0,VERB,VERB,PRON,ADP,VERB,VERB,VERB,DET,0,1,1,1,1,1,1,12,5,0,nsubj,0,0,CLAUSEANAPH
5,9,2,1,1,0,PRON,VERB,ADV,VERB,PUNCT,PROPN,PROPN,PUNCT,0,0,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
5,6,1,1,0,0,PRON,VERB,ADV,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
5,10,1,1,1,0,PRON,VERB,ADV,VERB,VERB,ADP,DET,NOUN,0,1,0,1,1,0,0,0,1,0,nsubj,0,0,CLAUSEANAPH
5,7,1,2,1,0,PRON,VERB,PRON,VERB,NOUN,PUNCT,ABS,ABS,0,0,0,1,0,0,0,0,0,0,nsubj,0,0,CLAUSEANAPH
7,8,2,1,0,0,VERB,PUNCT,CONJ,VERB,PUNCT,ABS,ABS,ABS,0,0,0,1,0,0,0,0,0,0,dobj,0,0,CLAUSEANAPH
16,19,4,4,0,1,PUNCT,ADP,PRON,ADP,CONJ,ADV,PUNCT,ABS,0,0,0,1,0,0,0,0,0,0,pobj,0,0,CLAUSEANAPH
15,20,2,3,1,0,NOUN,NOUN,PUNCT,ADP,VERB,ADJ,ADJ,NOUN,0,0,2,1,1,1,1,0,0,0,nsubj,0,1,CLAUSEANAPH
